user_id,role,city,budget,cleanliness,noise_level,sleep_schedule,guest_frequency,smoking,social_level,has_pets,gender_preference,work_schedule,occupation,mbti_type
6ce4b75c-46d7-4d0e-8ef3-cf064a78aa41,Lister,Metro City,559,2,5,Early Bird,Rarely,Smokes Outside,Friendly but independent,FALSE,Male,9-to-5,Healthcare,ISTJ
c708ef52-6d11-4598-bdb1-ba4b858cf7d1,Seeker,Metro City,1610,2,2,Flexible,Rarely,Non-Smoker,Very social / Friends,TRUE,Male,Shift Work,Retail,ESFJ
ec4e2d5c-e0b6-41bc-a167-d404fd92d629,Seeker,Metro City,1889,5,1,Flexible,Rarely,Non-Smoker,Friendly but independent,FALSE,Male,Shift Work,Tech,ESFP
0ebe9134-d58a-4acd-ba5d-589486acd55d,Seeker,Suburbia,2461,3,3,Night Owl,Occasionally,Non-Smoker,Friendly but independent,FALSE,Female,9-to-5,Tech,ESFP
8393dc97-f936-4333-be8a-6ea5819de2f4,Seeker,Metro City,599,3,3,Early Bird,Rarely,Non-Smoker,Friendly but independent,TRUE,Female,Remote / WFH,Healthcare,ESFJ
5b848736-945d-4170-b6c0-d68aaaa982aa,Seeker,Metro City,1247,2,2,Night Owl,Occasionally,Non-Smoker,Friendly but independent,FALSE,Male,9-to-5,Other,ESTJ
96ba5511-86c3-46ce-8bb7-33b22ad980ea,Lister,Metro City,1624,4,5,Early Bird,Occasionally,Non-Smoker,Very social / Friends,FALSE,Female,9-to-5,Education,ISFP
2e3d1ab4-9731-49ed-b8fe-ce892aae0d3f,Lister,Coastal Town,2175,4,2,Early Bird,Rarely,Smokes Inside,Friendly but independent,FALSE,Male,Student,Other,ISTJ
e1f8381d-3ee2-4cb6-8c0d-83774d0af28f,Lister,Suburbia,2315,2,3,Early Bird,Rarely,Non-Smoker,Friendly but independent,FALSE,No Preference,9-to-5,Tech,INTP
82e06388-db28-4a79-8241-733c7c10aa95,Seeker,Metro City,2232,1,5,Night Owl,Occasionally,Smokes Outside,Friendly but independent,TRUE,Female,9-to-5,Tech,ISFJ
4ff2e8db-c6b4-457d-849f-adfdd11b7a19,Lister,Metro City,1756,2,3,Flexible,Occasionally,Non-Smoker,Very social / Friends,FALSE,No Preference,Student,Education,ESFJ
f58facfb-3324-4dd2-a507-7510eedf54a8,Seeker,Metro City,978,3,2,Flexible,Frequently,Non-Smoker,Friendly but independent,TRUE,Male,Student,Finance,INFP
edaaa2a1-dc30-4266-81e1-7a844d902906,Lister,Suburbia,2182,3,5,Night Owl,Occasionally,Smokes Inside,Very social / Friends,FALSE,Female,9-to-5,Finance,ESTP
8bc3b530-e45e-4017-b022-d6d5f6e68422,Lister,Metro City,1378,2,1,Night Owl,Rarely,Non-Smoker,Friendly but independent,FALSE,Male,Student,Tech,ISFJ
9a1cee3e-ef4e-4586-bda5-20d561f866c3,Lister,Metro City,1266,1,4,Flexible,Occasionally,Non-Smoker,Keep to self,FALSE,Male,Remote / WFH,Other,ESFP
ef3f64ad-a032-4c72-84ff-6d314e783cef,Seeker,Metro City,954,3,2,Flexible,Frequently,Smokes Outside,Keep to self,TRUE,No Preference,Shift Work,Creative,INFJ
764a6f21-123f-43ef-8b15-01b6e1e10db1,Seeker,Suburbia,1309,2,4,Night Owl,Occasionally,Non-Smoker,Friendly but independent,FALSE,Female,Remote / WFH,Retail,ESFJ
fdbb42ee-53e9-4dbb-9fa4-c5f56f99b6a4,Seeker,Suburbia,1726,1,1,Flexible,Occasionally,Non-Smoker,Very social / Friends,FALSE,No Preference,Shift Work,Creative,ESFP
932b4332-343a-40eb-8087-aa04ccb91c21,Seeker,Coastal Town,1966,2,1,Night Owl,Occasionally,Non-Smoker,Very social / Friends,FALSE,Male,Remote / WFH,Other,ISTP
d609cfde-1069-4738-833d-78f9f5f37d48,Seeker,Metro City,2109,2,3,Early Bird,Rarely,Non-Smoker,Friendly but independent,TRUE,Male,Remote / WFH,Other,INTP
